1,3,12
3,2,12
3,4,18
5,6,13
9,10,15
5,7,13
5,8,13
60,59,15
10,11,17
60,61,18
12,13,12
15,16,12
11,21,33
12,14,12
17,18,13
22,23,13
28,29,25
30,49,21
28,31,25
17,19,13
17,20,13
22,24,13
25,26,12
32,48,21
49,50,15
25,27,12
33,45,29
34,39,29
35,38,24
36,37,19
48,45,17
39,38,21
38,37,15
45,44,21
47,46,18
40,41,18
40,43,21
41,42,18
41,47,18
51,52,21
50,54,18
52,53,17
62,61,21
63,64,18
55,56,21
56,57,18
58,59,17
75,76,19
70,71,17
74,76,17
74,77,17
65,70,17
66,67,18
72,73,18
67,68,15
69,68,15
4,9,18
4,5,21
9,60,18
11,12,21
11,15,21
15,17,21
22,25,21
21,28,33
54,53,21
45,46,21
39,40,21
62,63,21
56,58,21
73,74,21
64,65,21
65,66,21
65,72,21
53,55,25
21,22,33
30,32,45
num_vertices: 77
num_edges: 76
total_weight: 1449
